Arquivo PDF;Numero NF;Código Produto;Descrição;Unidade;Quantidade;Valor Unitário;Valor Total;Data de Emissao
0746478 - OV_12662148.pdf;112662148;1C00151M6;1C00151M6 MOCHILA PARA FERRAMENTAS E NOTEBOOK EM NYLON 1680 42021220 000 5557 UN 20 146,39 2.927,80 2.927,80 527,00;292.780;20;146.39;2.927.80;21/03/2025
0746478 - OV_12662148.pdf;112662148;1P02136M3_5;1P02136M3_5 PEN DRIVE 32GB ­ VELOCIDADE 3.0 39269090 200 5557 UN 40 62,59 2.503,60 2.503,60 450,65;250.360;40;62.59;2.503.60;21/03/2025
0746478 - OV_12662148.pdf;112662148;1X00654M3E;1X00654M3E LANTERNA PEQUENA ­ LEEDS 85131010 000 5557 UN 15 75,59 1.133,85 1.133,85 204,09;113.385;15;75.59;1.133.85;21/03/2025
0746478 - OV_12662148.pdf;112662148;1X00644M1E_5;1X00644M1E_5 LIMA PEQUENA COM CABO FIXO 82031010 060 5557 UN 20 13,27 265,40 0,00 0,00;0;20;13.27;265.40;21/03/2025
0746478 - OV_12662148.pdf;112662148;5830000001;5830000001 MANTA ANTIESTATICA 040X060CM 2 BOLSOS REF5830000001 40169990 000 5557 UN 20 129,23 2.584,60 2.584,60 465,23;258.460;20;129.23;2.584.60;21/03/2025
0746478 - OV_12662148.pdf;112662148;1X00620M8E;1X00620M8E ESTILETE STANDARD LIGHT 82119390 000 5557 UN 20 17,17 343,40 343,40 61,81;34340;20;17.17;343.40;21/03/2025
0750338 - OV_12808548.pdf;112808548;1C00281M9;1C00281M9 CAMISA MASC AZUL MANGA CURTA TAM 03 62052000 000 5557 UN 22 53,08 1.167,76 1.167,76 210,20;116.776;22;53.08;1.167.76;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00282M3;1C00282M3 CAMISA MASC AZUL MANGA CURTA TAM 06 62052000 000 5557 UN 30 49,41 1.482,30 1.482,30 266,81;148.230;30;49.41;1.482.30;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00282M4;1C00282M4 CAMISA MASC AZUL MANGA CURTA TAM 07 62052000 000 5557 UN 30 53,05 1.591,50 1.591,50 286,47;159.150;30;53.05;1.591.50;23/04/2025
0750338 - OV_12808548.pdf;112808548;1P02164M3;1P02164M3 CAPACETE DE SEGURANÇA CA 498 ­ BRANCO 65061000 500 5557 UN 7 40,58 284,06 284,06 51,13;28406;7;40.58;284.06;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00310M9;1C00310M9 CAMISA POLO FEMININA CURTA GG ­ ROXO 61112000 000 5557 UN 15 40,84 612,60 612,60 110,27;61260;15;40.84;612.60;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00284M3;1C00284M3 CAMISA FEM AZUL MANGA CURTA TAM P 62052000 000 5557 UN 15 49,41 741,15 741,15 133,41;74115;15;49.41;741.15;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00284M5;1C00284M5 CAMISA FEM AZUL MANGA CURTA TAM G 62052000 000 5557 UN 15 49,18 737,70 737,70 132,79;73770;15;49.18;737.70;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00284M6;1C00284M6 CAMISA FEM AZUL MANGA CURTA TAM GG 62052000 000 5557 UN 15 49,10 736,50 736,50 132,57;73650;15;49.10;736.50;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00014M2;1C00014M2 CALÇA SOCIAL PRETA MASCULINA 42 62034900 000 5557 UN 10 49,91 499,10 499,10 89,84;49910;10;49.91;499.10;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00015M4;1C00015M4 CALÇA SOCIAL PRETA MASCULINA 44 62034200 000 5557 UN 10 49,91 499,10 499,10 89,84;49910;10;49.91;499.10;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00016M6;1C00016M6 CALÇA SOCIAL PRETA MASCULINA 46 62034200 000 5557 UN 10 49,91 499,10 499,10 89,84;49910;10;49.91;499.10;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00018M1;1C00018M1 CALÇA SOCIAL PRETA MASCULINA 50 62034200 000 5557 UN 1 54,99 54,99 54,99 9,90;5499;1;54.99;54.99;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00019M3;1C00019M3 CALÇA SOCIAL PRETA MASCULINA 52 62034300 000 5557 UN 4 45,38 181,52 181,52 32,67;18152;4;45.38;181.52;23/04/2025
0750338 - OV_12808548.pdf;112808548;1C00140M2;1C00140M2 JAQUETA PRETA MASCULINA G 61044200 000 5557 UN 10 44,80 448,00 448,00 80,64;44800;10;44.80;448.00;23/04/2025
0750338 - OV_12808548.pdf;112808548;1X00652M8E;1X00652M8E CHAVE MULTI BITS ­ 1.4 X 5 (6.35 X 125) ­ MORETZSOHN 82054000 000 5557 UN 22 99,49 2.188,78 2.188,78 393,98;218.878;22;99.49;2.188.78;23/04/2025
0750338 - OV_12808548.pdf;112808548;1X00648M9E;1X00648M9E PULSEIRA ANTI­ ESTÁTICA CASADOR DE IMPEDÂNCIA 85444900 000 5557 UN 20 16,18 323,60 323,60 58,25;32360;20;16.18;323.60;23/04/2025
0750338 - OV_12808548.pdf;112808548;1P02136M8_N5;1P02136M8_N5 LIMPADOR PARA TELAS C60ML + PANO MICROFIBRA 28112990 560 5557 UN 15 20,54 308,10 0,00 0,00;0;15;20.54;308.10;23/04/2025
0750338 - OV_12808548.pdf;112808548;1P02138M1;1P02138M1 CHAVE TORX C/CABO T15X80MM 82054000 000 5557 UN 15 20,01 300,15 300,15 54,03;30015;15;20.01;300.15;23/04/2025
0750338 - OV_12808548.pdf;112808548;1P02137M9N;1P02137M9N CHAVE TORX C/CABO T25X100MM 82054000 260 5557 UN 15 23,31 349,65 0,00 0,00;0;15;23.31;349.65;23/04/2025
0753859 - OV_12377614.pdf;112377614;1C00308M7;1C00308M7 CAMISA POLO MASCULINA MANGA CURTA EXG ­ PRETO 61112000 000 5557 UN 4 40,84 163,36 163,36 29,40;16336;4;40.84;163.36;22/05/2025
0753859 - OV_12377614.pdf;112377614;1P02166M2;1P02166M2 CALÇADO SEGURANÇA 44 CA 43377 64039990 500 5557 UN 3 43,36 130,08 130,08 23,41;13008;3;43.36;130.08;22/05/2025
0754478 - OV_12976191.pdf;112976191;1C00301M2;1C00301M2 CAMISA POLO FEMININA CURTA G ­ AZUL 61112000 000 5557 UN 10 40,84 408,40 408,40 73,51;40840;10;40.84;408.40;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00301M4;1C00301M4 CAMISA POLO FEMININA CURTA P ­ AZUL 61112000 000 5557 UN 4 40,84 163,36 163,36 29,40;16336;4;40.84;163.36;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M3;1C00305M3 CAMISA POLO MASCULINA MANGA CURTA G1 ­ AZUL 61112000 000 5557 UN 20 40,84 816,80 816,80 147,02;81680;20;40.84;816.80;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M4;1C00305M4 CAMISA POLO MASCULINA MANGA CURTA EXG ­ AZUL 61112000 000 5557 UN 8 40,84 326,72 326,72 58,81;32672;8;40.84;326.72;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M5;1C00305M5 CAMISA POLO MASCULINA MANGA CURTA GG ­ AZUL 61112000 000 5557 UN 15 40,84 612,60 612,60 110,27;61260;15;40.84;612.60;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M6;1C00305M6 CAMISA POLO MASCULINA MANGA CURTA G ­ AZUL 61112000 000 5557 UN 40 40,84 1.633,60 1.633,60 294,05;163.360;40;40.84;1.633.60;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M7;1C00305M7 CAMISA POLO MASCULINA MANGA CURTA M ­ AZUL 61112000 000 5557 UN 40 40,84 1.633,60 1.633,60 294,05;163.360;40;40.84;1.633.60;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00305M8;1C00305M8 CAMISA POLO MASCULINA MANGA CURTA P ­ AZUL 61112000 000 5557 UN 40 40,84 1.633,60 1.633,60 294,05;163.360;40;40.84;1.633.60;27/05/2025
0754478 - OV_12976191.pdf;112976191;1C00312M1;1C00312M1 CAMISA POLO MASCULINA MANGA LONGA M ­ ROXO 61091000 000 5557 UN 25 45,37 1.134,25 1.134,25 204,17;113.425;25;45.37;1.134.25;27/05/2025
